STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,5/30/2010,,0,0,74.5,86,63
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,5/31/2010,,0,0,76.5,87,66
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/1/2010,,0.48,0,73.5,84,63
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/2/2010,,0,0,73.5,84,63
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/3/2010,,0.95,0,74.5,85,64
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/4/2010,,0.05,0,74.5,83,66
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/5/2010,,0,0,77,87,67
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/6/2010,,0,0,80.5,87,74
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/7/2010,,0,0,67.5,77,58
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/8/2010,,0,0,67.5,77,58
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/9/2010,,0.45,0,70.5,77,64
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/10/2010,,0,0,72.5,83,62
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/11/2010,,0,0,74,86,62
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/12/2010,,1.11,0,79,88,70
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/13/2010,,0.23,0,79.5,90,69
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/14/2010,,0.5,0,77,85,69
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/15/2010,,0.84,0,79,90,68
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/16/2010,,0.71,0,76.5,87,66
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/17/2010,,0,0,73.5,84,63
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/18/2010,,0,0,74,85,63
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/19/2010,,1.26,0,79,92,66
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/20/2010,,0,0,76,86,66
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/21/2010,,0,0,80.5,92,69
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/22/2010,,0.15,0,78.5,87,70
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/23/2010,,0.11,0,78,86,70
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/24/2010,,0,0,82,92,72
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,6/25/2010,,0,0,72,81,63
